ID,Storm,Lat,Lon,DistancetoCoast,NumberofHouses,TotalValue_2023,Stories_sum,Stories_median,Elevation,Rainfall_Max,Rainfall_Mean,MaxWind,FloodDepth,Damage,DamageRate
1,Henri,40.642,-74.083,0.680209023,364,300170728.4,893,3,41.64273632,18.72708588,1.620488152,19.6514585,0.013891348,NA,NA
2,Henri,40.756,-73.968,0.495414087,1742,4277529032,36199,19,9.896841706,20.24218732,1.970322356,29.57915169,0.233025657,NA,NA
8,Henri,40.808,-73.939,0.39628896,391,467496365.4,1646,4,5.881592114,19.79004637,1.985417695,19.44095007,0.207607263,NA,NA
9,Henri,40.839,-73.936,0.291893459,85,194398837.8,459,7,47.47112758,19.99304773,1.988606528,15.8543095,0.388585264,NA,NA
10,Henri,40.851,-73.931,0.380194637,218,461376723.7,814,3,55.86149771,19.99304773,1.988606528,14.62474815,0.12199412,NA,NA
11,Henri,40.696,-73.995,0.40059423,215,999801767.7,946,4,23.61707725,19.79465725,1.621688994,30.60642736,0.111585438,NA,NA
20,Henri,40.67,-73.985,0.514556841,529,1223135631,1552,3,15.21746692,19.37261266,1.459649325,30.23871408,0.036165019,339,2.77E-07
21,Henri,40.668,-73.987,0.696427863,574,1309047393,1688,3,21.43735089,19.37261266,1.459649325,29.95122947,0.022778015,NA,NA
67,Henri,40.574,-73.997,0.410480578,111,413354936.1,516,3,2.23551508,19.65885916,1.791697537,19.69323386,0.198099251,NA,NA
104,Henri,40.721,-73.955,0.514345843,606,711802200.5,3177,6,4.862138647,20.07194612,1.909261105,35.08396315,0.173236872,NA,NA
119,Henri,40.603,-73.938,0.483405157,367,311779658.5,729,2,3.999746862,19.80476843,1.80560098,27.01145323,0.134592794,NA,NA
120,Henri,40.724,-73.952,0.479267563,341,425562458.8,966,3,3.870460967,20.07194612,1.909261105,35.38241869,0.237916317,NA,NA
121,Henri,40.599,-73.937,0.554461723,303,440216780.2,603,2,3.564710138,19.80476843,1.80560098,26.44977465,0.264612473,NA,NA
123,Henri,40.596,-73.938,0.488629237,4,187218749.4,25,6,3.715548976,19.80476843,1.80560098,26.24529919,0.137993794,NA,NA
124,Henri,40.728,-73.949,0.722102269,454,590008782.6,1356,3,4.568770389,20.07194612,1.909261105,35.85153889,0.147795631,NA,NA
133,Henri,40.591,-73.94,0.841454671,231,342594380.6,500,2,3.219374699,19.67976824,1.79044541,25.39441973,0.218816822,NA,NA
134,Henri,40.587,-73.946,0.391501529,1281,1057173112,4150,3,2.545448069,19.71619443,1.802418591,24.41270934,0.423088075,NA,NA
135,Henri,40.6,-73.932,0.189674054,254,238584588.9,495,2,3.497335559,19.80476843,1.80560098,27.35078502,0.13454974,NA,NA
136,Henri,40.61,-73.936,0.795550037,407,322338921.8,783,2,4.069080033,19.80476843,1.80560098,28.01718642,0.25187543,NA,NA
145,Henri,40.608,-73.931,0.460793787,536,420828955.4,985,2,3.611191052,19.80476843,1.80560098,28.3766806,0.252600563,NA,NA
146,Henri,40.609,-73.928,0.566472696,520,399062567.2,1022,2,3.729273619,19.80476843,1.80560098,28.83595182,0.109209067,NA,NA
147,Henri,40.613,-73.923,0.484136267,509,403494773.7,941,2,3.343706829,19.80476843,1.80560098,29.77604347,0.227720497,NA,NA
151,Henri,40.626,-73.923,0.710056074,466,338505109.1,891,2,4.335152817,19.54281378,1.629706416,31.29416754,0.280115616,NA,NA
154,Henri,40.615,-73.917,0.158248036,255,224423379.8,532,2,3.260476312,19.6737911,1.717653698,30.73501067,0.240358993,NA,NA
155,Henri,40.617,-73.919,0.465623925,463,294110604.2,862,2,3.43414495,19.6737911,1.717653698,30.91893598,0.195994513,NA,NA
156,Henri,40.62,-73.921,0.79178275,482,312515871.3,948,2,4.330638027,19.54281378,1.629706416,30.99387561,0.085456562,NA,NA
157,Henri,40.624,-73.92,0.80922727,503,357324922.2,1055,2,4.294230062,19.54281378,1.629706416,31.38017053,0.188808279,NA,NA
195,Henri,40.647,-73.892,0.200434429,356,271953915.4,739,2,2.982490469,19.82943591,1.784986733,36.70883769,0.329124801,NA,NA
196,Henri,40.645,-73.894,0.495584548,451,333740261.9,910,2,3.206397756,19.82943591,1.784986733,36.19247891,0.293227043,NA,NA
